id|word|kana
240|しゃべる|SHABERU
241|目|ME
242|閉じる|TOJIRU
243|外界|GAIKAI
244|日常|NICHIJOU
245|酒|SAKE
246|一緒に|ISSHONI
247|留学生|RYUUGAKUSEI
248|座る|SUWARU
249|甘い|AMAI
250|辛い|KARAI
251|変える|KAERU
252|決まる|KIMARU
253|優しい|YASASHII
254|愛する|AISURU
255|どうして|DOUSHITE
256|酸っぱい|SUPPAI
257|小さい|CHIISAI
258|おいしい|OISHII
259|覚える|OBOERU
260|悲しい|KANASHII
261|美しい|UTSUKUSHII
262|授業|JUGYOU
263|手伝う|TETSUDAU
264|飛ぶ|TOBU
265|触る|SAWARU
266|駄目|DAME
267|渇望|KATSUBOU
268|おしゃれ|OSHARE
269|空気|KUUKI
270|人気|NINKI
271|スーツ|SU-TSU
272|カーテン|KA-TEN
273|コーヒー|KO-HI-
274|パン|PAN
275|おかず|OKAZU
276|テレビ|TEREBI
277|ニュース|NYU-SU
278|休日|KYUUJITSU
279|パスポート|PASUPO-TO
280|ゆっくり|YUKKURI
281|半日|HANNICHI
282|電話|DENWA
283|ホーム|HO-MU
284|週末|SHUUMATSU
285|プール|PU-RU
286|温度|ONDO
287|気温|KION
288|台風|TAIFUU
289|コンピューター|KONPYU-TA-
290|コート|KO-TO
291|ライター|RAITA-
292|ぶらぶら|BURABURA
293|ソファー|SOFA-
294|忘れ物|WASUREMONO
295|ウィスキー|WHISUKI-
296|シャツ|SHATSU
297|重さ|OMOSA
298|切符|KIPPU
299|家賃|YACHIN
300|時代|JIDAI
301|予定|YOTEI
302|天気予報|TENKIYOHOU
303|カレンダー|KARENDA-
304|予習|YOSHUU
305|パジャマ|PAJAMA
306|レインコート|REINKO-TO
307|ウェイター|WEITA-
308|テスト|TESUTO
309|出発|SHUPPATSU
310|発車|HASSHA
311|返事|HENJI
312|雑誌|ZASSHI
313|売店|BAITEN
314|音|OTO
315|びっくり|BIKKURI
316|犬|INU
317|がらがら|GARAGARA
318|教室|KYOSHITSU
319|ネオン|NEON
320|隠れ家|KAKUREGA
321|海辺|UMIBE
322|山道|YAMAMICHI
323|どきどき|DOKIDOKI
324|受付|UKETSUKE
325|インテリア|INTERIA
326|窓|MADO
327|街角|MACHIKADO
328|毎週|MAISHUU
329|親切|SHINSETSU
330|店員|TENIN
331|おしゃべり|OSHABERI
332|アルバイト|ARUBAITO
333|バイク|BAIKU
334|イヤリング|IYARINGU
335|大人しい|OTONASHII
336|昼過ぎ|HIRUSUGI
337|自由|JIYUU
338|変わる|KAWARU
339|信じる|SHINJIRU
340|特別|TOKUBETSU
341|ごちそう|GOCHISOU
342|ふらふら|FURAFURA
343|酔っ払い|YOPPARAI
344|チケット|CHIKETTO
345|昼休み|HIRUYASUMI
346|願う|NEGAU
347|遊び|ASOBI
348|案内|ANNAI
349|相談|SOUDAN
350|毎晩|MAIBAN
351|集める|ATSUMERU
352|給料|KYURYO
353|壊す|KOWASU
354|壊れる|KOWARERU
355|立派|RIPPA
356|沈む|SHIZUMU
357|終電|SHUDEN
358|景色|KESHIKI
359|回る|MAWARU
360|雲|KUMO
361|曇り|KUMORI
362|バス停|BASUTEI
363|ぐっすり|GUSSURI
364|昼寝|HIRUNE
365|ジュース|JU-SU
366|幸せ|SHIAWASE
367|お祝い|OIWAI
368|弁当|BENTOU
369|乾杯|KANPAI
370|速さ|HAYASA
371|花|HANA
372|たばこ|TABAKO
373|ビール|BI-RU
374|好きで仕方ない|SUKIDESHIKATANAI
375|間に合う|MANIAU
376|伝える|TSUTAERU
377|忙しい|ISOGASHII
378|引っ張る|HIPPARU
379|突き当たり|TSUKIATARI
380|弾く|HIKU
381|ラッシュアワー|RASSHUAWA-
382|夢|YUME
383|怖い|KOWAI
384|怠ける|NAMAKERU
385|一生懸命|ISSHOUKENMEI
386|髪|KAMI
387|匂い|NIOI
388|寝坊|NEBOU
389|玄関|GENKAN
390|冗談|JOUDAN
391|丁寧|TEINEI
392|我慢|GAMAN
393|太陽|TAIYOU
394|隠れる|KAKURERU
395|日陰|HIKAGE
396|帽子|BOUSHI
397|食堂|SHOKUDOU
398|散歩|SANPO
399|尊敬|SONKEI
400|早起き|HAYAOKI
401|転ぶ|KOROBU
402|照れ|TERE
403|遠慮|ENRYO
404|叱る|SHIKARU
405|傘|KASA
406|お嬢さん|OJYOUSAN
407|挨拶|AISATSU
408|靴下|KUTSUSHITA
409|歯磨き|HAMIGAKI
410|ずるい|ZURUI
411|ずうずうしい|ZUUZUUSHII
412|日の出|HINODE
413|一休み|HITO YASUMI
414|つまずく|TSUMAZUKU
415|うろうろ|UROURO
416|じろじろ|JIROJIRO
417|見上げる|MIAGERU
418|サボる|SABORU
419|きょろきょろ|KYOROKYORO
420|見通し|MITOOSHI
421|地下|CHIKA
422|行き止まり|IKIDOMARI
423|くたびれる|KUTABIRERU
424|くたくた|KUTAKUTA
425|ハード|HA-DO
426|ありのまま|ARINOMAMA
427|無茶|MUCHA
428|うっかり|UKKARI
429|上品|JOUHIN
430|宝石|HOUSEKI
431|だらしない|DARASHINAI
432|ぽかぽか|POKAPOKA
433|不可能|FUKANOU
434|駅前|EKIMAE
435|じっと|JITTO
436|きっかけ|KIKKAKE
437|可愛すぎる|KAWAISUGIRU
438|いやいや|IYAIYA
439|回り道|MAWARIMICHI
440|待ち遠しい|MACHIDOOSHII
441|まぶしい|MABUSHII
442|ぎゅうぎゅう|GYUUGYUU
443|夜更かし|YOFUKASHI
444|ラッシュ|RASSHU
445|よそ見|YOSOMI
446|本能|HONNOU
447|理性|RISEI
448|ぐずぐず|GUZUGUZU
449|ぎりぎり|GIRIGIRI
450|大通り|OODOORI
451|わくわく|WAKUWAKU
452|びしょびしょ|BISHOBISHO
453|待合室|MACHIAISHITSU
454|味わう|AJIWAU
455|家事|KAJI
456|そっくり|SOKKURI
457|旅|TABI
458|口げんか|KUCHIGENKA
459|元気|GENKI
460|ショック|SHOKKU
461|しっかり|SHIKKARI
462|弱点|JYAKUTEN
463|さっぱり|SAPPARI
464|こっそり|KOSSORI
465|最強|SAIKYOU
466|アイドル|AIDORU
467|からかう|KARAKAU
468|バー|BAA
469|いつのまに|ITSUNOMANI
470|うつむく|UTSUMUKU
471|おだてる|ODATERU
472|わざと|WAZATO
473|とっくに|TOKKUNI
474|プライド|PURAIDO
475|必然|HITSUZEN
476|見つめる|MITSUMERU
477|真夜中|MAYONAKA
478|似合う|NIAU
479|和やか|NAGOYAKA
480|にっこり|NIKKORI
481|何で|NANDE
482|とっさに|TOSSANI
483|にやにや|NIYANIYA
484|ほっぺた|HOPPETA
485|うなじ|UNAJI
486|ほほえむ|HOHOEMU
487|真心|MAGOKORO
488|無言|MUGON
489|行方|YUKUE
490|寝落ち|NEOCHI
491|ごまかす|GOMAKASU
492|ストレス|SUTORESU
493|確信|KAKUSHIN
494|失敗|SHIPPAI
495|正午|SHOUGO
496|日常|NICHIJOU
497|記憶|KIOKU
498|選択|SENTAKU
499|打ち明ける|UCHIAKERU
500|悩む|NAYAMU
501|たまらない|TAMARANAI
502|自信|JISHIN
503|ずるがしこい|ZURUGASHIKOI
504|良心|RYOSHIN
505|集中|SHUCHU
506|退屈|TAIKUTSU
507|感情|KANJOU
508|感動|KANDOU
509|空想|KUUSOU
510|理想|RISOU
511|スピード|SUPI-DO
512|がっかり|GAKKARI
513|がくんと|GAKUNTO
514|水面|MINAMO
515|流行|HAYARI
516|地平線|CHIHEISEN
517|永遠|EIEN
518|浮く|UKU
519|観測|KANSOKU
520|足跡|ASHITATO
521|好奇心|KOUKISHIN
522|静まる|SHIZUMARU
523|冷静|REISEI
524|休暇|KYUUKA
525|裏表|URAOMOTE
526|心細い|KOKOROBOSOI
527|積極的|SEKKYOKUTEKI
528|目茶苦茶|MECHAKUCHA
529|義務|GIMU
530|せっかち|SEKKACHI
531|甘える|AMAERU
532|甘やかす|AMAYAKASU
533|薄着|USUGI
534|ぺらぺら|PERAPERA
535|厚着|ATSUGI
536|届け|TODOKE
537|透き通る|SUKITOORU
538|希望|KIBOU
539|欲望|YOKUBOU
540|待ち望む|MACHINOZOMU
541|向上|KOUJOU
542|実る|MINORU
543|日々|HIBI
544|独特|DOKUTOKU
545|独り言|HITORIGOTO
546|独占|DOKUSEN
547|仲良し|NAKAYOSHI
548|仲直り|NAKANAORI
549|お互い|OTAGAI
550|訓練|KUNREN
551|むなしい|MUNASHII
552|引きずる|HIKIZURU
553|純粋|JUNSUI
554|天才|TENSAI
555|大喜び|OOYOROKOBI
556|サークル|SA-KURU
557|運命|UNMEI
558|再会|SAIKAI
559|禁断|KINDAN
560|追憶|TSUIOKU
561|大胆|DAITAN
562|臆病|OKUBYOU
563|不真面目|FUMAJIME
564|誠実|SEIJITSU
565|不誠実|FUSEIJITSU
566|純真|JUNSHIN
567|庶民的|SHOMINTEKI
568|豊か|YUTAKA
569|至福|SHIFUKU
570|悲哀|HIAI
571|没頭|BOTTOU
572|悠々|YUYYU
573|安らぎ|YASURAGI
574|安堵|ANDO
575|校庭|KOUTEI
576|中毒|CHUDOKU
577|地味|JIMI
578|昨夜|SAKUYA
579|人通り|HITODOORI
580|興味|KYOMI
581|柔軟|JYUUNAN
582|滑らか|NAMERAKA
583|触れる|FURERU
584|くっ付ける|KUTTSUKERU
585|嫌がる|IYAGARU
586|好き嫌い|SUKIKIRAI
587|徹夜|TETSUYA
588|ドヤ顔|DOYAGAO
589|孤独|KODOKU
590|水平|SUIHEI
591|振動|SHINDOU
592|重み|OMOMI
593|鎖|KUSARI
594|はだし|HADASHI
595|冷淡|REITAN
596|濁る|NIGORU
597|澄む|SUMU
598|あふれる|AFURERU
599|電灯|DENTOU
600|そっと|SOTTO
601|すべすべ|SUBESUBE
602|領域|RYOUIKI
603|慌てる|AWATERU
604|可愛い|KAWAII
605|透明|TOUMEI
606|ふわふわ|FUWAFUWA
607|幼い|OSANAI
608|居眠り|INEMURI
609|一瞬|ISSHUN
610|振り向く|FURIMUKU
611|空っぽ|KARAPPO
612|蒸し暑い|MUSHIATSUI
613|ひらりと|HIRARITO
614|軽快|KEIKAI
615|ジャンプ|JANPU
616|郊外|KOUGAI
617|近郊|KINKOU
618|くしゃみ|KUSHAMI
619|だるい|DARUI
620|お嬢さん|OJYOUSAN
621|連日|RENJITSU
622|賑わう|NIGIWASU
623|華やか|HANAYAKA
624|窮屈|KYUKUTSU
625|朗らか|HOGARAKA
626|空中|KUCHU
627|遥か|HARUKA
628|曖昧|AIMAI
629|しっかり者|SHIKKARIMONO
630|飄々|HYOUHYOU
631|クール|KU-RU
632|天然|TENNEN
633|嫉妬深い|SHITTOBUKAI
634|愛嬌|AIKYOU
635|のんびり屋|NONBIRIYA
636|引っ込み思案|HIKKOMIJIAN
637|ビビリ|BIBIRI
638|マイペース|MAIPE-SU
639|無表情|MUHYOJOU
640|達観|TAKKAN
641|切ない|SETSUNAI
642|ときめき|TOKIMEKI
643|ほっこり|HOKKORI
644|じんわり|JINWARI
645|どきどき|DOKIDOKI
646|ざわざわ|ZAWazawa
647|気まぐれ|KIMAGURE
648|おっちょこちょい|OCCHOKOCHOI
649|世話好き|SEWAZUKI
650|愉悦|YUETSU
651|いとおしさ|ITOOSHISA
652|切なさ|SETSUNASA
653|もどかしさ|MODOKASHISA
654|目で追う|MEDEOU
655|でれでれ|DEREDERE
656|眠れない|NEMURENAI
657|緊張|KINCHOU
658|敏感|BINKAN
659|駆け足|KAKEASHI
660|会いたい|AITAI
661|触れたい|FURETAI
662|依存|ISON
663|夢中|MUCHUU
664|頬が緩む|HOHOGAYURUMU
665|鼻歌|HANAUTA
666|はにかむ|HANIKAMU
667|晴れやか|HAREYAKA
668|心地よい|KOKOCHIYOI
669|目が輝く|MEGAKAGAYAKU
670|むくれる|MUKURERU
671|きょとん|KYOTON
672|おどおど|ODOODO
673|そわそわ|SOWASOWA
674|くつろぐ|KUTSUROGU
675|忘れたくない|WASURETAKUNAI
676|あどけなさ|ADOKENASA
677|首を傾げる|KUBIWOKASHIGERU
678|背伸び|SENOBI
679|うたたね|UTATANE
680|雲|KUMO
681|マジックアワー|MAJIKKUWA-
682|夜明け|YOAKE
683|ほの暗い早朝|HONOGURAISOUCHOU
684|影法師|KAGEBOUSHI
685|カーテンのような雨|KA-TENNOYOUNAAME
686|群青|GUNJOU
687|オアシス|OASHISU
688|奈落|NARAKU
689|旅人|TABIBITO
690|世間知らず|SEKENSHIRAZU
691|薄暗い|USUGURAI
692|大人っぽい|OTONAPPOI
693|子供っぽい|KODOMOPPOI
694|几帳面|KICHOMEN
695|面倒見が良い|MENDOOMIGAYOI
696|ルーズ|RU-ZU
697|ひきこもり|HIKIKOMORI
698|邯鄲の夢|KANTANNOYUME
699|蛍雪の功|KEISETSUNOKOU
700|捲土重来|KENDOCHOURAI
701|呉越同舟|GOETSUDOUSHUU
702|五里霧中|GORIMUCHUU
703|登竜門|TOURYUMON
704|明鏡止水|MEIKYOUSISUI
705|唯我独尊|YUIGADOKUSON
706|百花繚乱|HYAKKARYOURAN
707|一期一会|ICHIGOICHIE
708|不撓不屈|FUTOUFUKUTSU
709|花鳥風月|KACHOUFUGETSU
710|切磋琢磨|SESSATAKUMA
711|進取果敢|SHINSHUKAKAN
712|泰然自若|TAIZENJIJAKU
713|森羅万象|SHINRABANSHOU
714|一蓮托生|ICHIRENTAKUSHOU
715|諸行無常|SHOGYOUMUJOU
716|臥薪嘗胆|GASHINSHOUTAN
717|意馬心猿|IBASHINEN
718|勇往邁進|YUUMOUMAISHIN
719|初志貫徹|SHOSHIKANTETSU
720|唯一無二|YUIITSUMUNI
721|行雲流水|KOUNRYUSUI
722|手前味噌|TEMAEMISO
723|一意専心|ICHIIISENSHIN
724|色即是空|SHIKISOKUZEKUU
725|以心伝心|ISHINDENSHIN
726|水中|SUICHUU
727|渚|NAGISA
728|瀬戸際|SETOGIWA
729|霜天|SOUTEN
730|銀嶺|GINREI
731|つらら|TSURARA
732|花暦|HANAGOYOMI
733|花いかだ|HANAIKADA
734|朝凪|ASANAGI
735|月影|TSUKIKAGE
736|中華|CHUKA
737|可愛い|KAWAII
738|熱帯夜|NETTAIYA
739|陰キャ|INKYA
740|骨休め|HONEYASUME
741|団欒|DANRAN
742|腹ごしらえ|HARAGOSHIRAE
743|神隠し|KAMIKAKUSHI
744|たゆたう|TAYUTAU
745|宙ぶらりん|CHUBURARIN
746|夢心地|YUMEGOKOCHI
747|陶酔|TOUSUI
748|真紅|SHINKU
749|紺碧|KONPEKI
750|朝まだき|ASAMADAKI
751|仮初め|KARISOME
752|ほのぼの|HONOBONO
753|不夜城|FUYAJOU
754|常夜灯|JYOYATOU
755|摩天楼|MATENROU
756|まほろば|MAHOROBA
757|目抜き通り|MENUKIDOORI
758|残照|ZANSHOU
759|淑やか|SHITOYAKA
760|凛と|RINTO
761|終着駅|SHUCHAKUEKI
762|羞恥心|SHUCHISHIN
763|うららか|URARAKA
764|ゆるゆる|YURUYURU
765|能天気|NOUTENKI
766|高揚|KOUYOU
767|センチメンタル|SENCHIMENTARU
768|じれったい|JIRETTAI
769|もどかしい|MODOKASHII
770|やきもき|YAKIMOKI
771|忙殺|BOUSATSU
772|マイペース|MAIPE-SU
773|劣等感|RETTOUKAN
774|絶妙|ZETSUMYOU
775|巧妙|KOUMYOU
776|未熟|MIJUKU
777|可憐|KAREN
778|しおらしい|SHIORASHII
779|いたいけ|ITAIKE
780|絶美|ZETSUBI
781|妖艶|YOUEN
782|ミステリアス|MISUTERIASU
783|かじかむ|KAJIKAMU
784|猫背|NEKOZE
785|流し目|NAGASHIME
786|寝ぼけ眼|NEBOKEMANAKO
787|気晴らし|KIBARASHI
788|チル|CHIRU
789|満更でもない|MANZARADEMONAI
790|ツンデレ|TSUNDERE
791|デート|DE-TO
792|ジャージ|JA-JI
793|ファミレス|FAMIRESU
794|賑やかな街|NIGIYAKANAMACHI
795|ノスタルジック|NOSUTARUJIKKU
796|勉強会|BENKYOUKAI
797|いわく付き|IWAKUTSUKI
798|駐車場|CHUSHJOU
799|中華街|CHUKAGAI
800|インターネット|INTA-NETTO
801|通学路|TSUGAKURO
802|町中華|MACHICHUKA
803|猫舌|NEKOJITA
804|ロッキングチェア|ROKKINGUCHEA
805|海のような|UMINOYOUNA
806|つまみぐい|TSUMAMIGUI
807|雨合羽|AMAGAPPA
808|やけ食い|YAKEGUI
809|充実|JUJITSU
810|パニック|PANIKKU
811|得意げ|TOKUIIGE
812|からかう|KARAKAU
813|安心感|ANSHINKAN
814|ため息|TAMEIKI
815|手首|TEKUBI
816|晴れ晴れ|HAREBARE
817|力が抜ける|CHIKARAGANUKERU
818|ハグ|HAGU
819|ぼんやり|BONYARI
820|浅い眠り|ASAINEMURI
821|フィアンセ|FIANSE
822|テイクアウト|TEIKUAUTO
823|隣人|RINJIN
824|もたれる|MOTARERU
825|体重計|TAIJUUKEI
826|日焼け|HIYAKE
827|緊張|KINCHOU
828|興奮|KOUFUN
829|雨宿り|AMAYADORI
830|思い隠せず|OMOIKAKUSEZU
831|色仕掛け|IROJIKAKE
832|色香|IROKA
833|きらびやか|KIRABIYAKA
834|イレギュラー|IREGYURA-
835|コミュ障|KOMYUSHOU
836|ぼっち|BOCCHI
837|人見知り|HITOMISHIRI
838|チャイナ|CHAINA
839|姉妹|SHIMAI
840|迎合|GEIGOU
841|無気力|MUKIRYOKU
842|イメチェン|IMECHEN
843|限界OL|GENKAIOL
844|ダウナー|DAUNA-
845|マネージャー|MANE-JA-
846|オタク|OTAKU
847|バニーガール|BANI-GA-RU
848|先生|SENSEI
849|青天白日|SEITENHAKUJITSU
850|銀嶺|GINREI
851|一条の光|ICHIJOUNOHIKARI
852|波の花|NAMINOHANA
853|落落|RAKURAKU
854|雪えくぼ|YUKIEKUBO
855|暗香疎影|ANKOUSOEI
856|雪しろ|YUKISHIRO
857|春疾風|HARUHAYATE
858|花笑み|HANAEMI
859|白昼夢|HAKUCHUMU
860|春三日月|HARUMIKAZUKI
861|別れ雪|WAKAREYUKI
862|踊子草|ODORIKOSOU
863|花逍遥|HANASHOUYOU
864|花天月地|KATENGETSUCHI
865|花月夜|HANAZUKIYO
866|侘桜|WABIZAKURA
867|花雨|KAU
868|飛花|HIKA
869|のどか|NODOKA
870|逃げ水|NIGEMIZU
871|光風霽月|KOUFUUSEIGETSU
872|ささらめく|SASARAMEKU
873|蒼天|SOUTEN
874|山紫水明|SANSHISUIMEI
875|風薫る|KAZEKAORU
876|風車|FUUSHA
877|夏浅し|NATSUASASHI
878|ホタル|HOTARU
879|忘れ草|WASUREGUSA
880|梢の夏|KOZUENONATSU
881|滂沱|BOUDA
882|短夜|MIJIKAYO
883|恋草|KOIGUSA
884|睡蓮|SUIREN
885|夏の霜|NATSUNOSHIMO
886|私雨|WATAKUSHISAME
887|百花繚乱|HYAKKARYOURAN
888|水天彷彿|SUITENHOUFUTSU
889|村雨|MURASAME
890|沙羅|SARA
891|日雷|HIDERI
892|夕立|YUDACHI
893|蒼穹|SOUKYUU
894|行雲流水|KOUNRYUSUI
895|夏館|NATSUYAKATA
896|遠花火|TOOHANABI
897|精霊流し|SHOURYOUNAGASHI
898|海鳴り|UMINARI
899|涼雨|RYOUU
900|群青|GUNJOU
901|行き合いの空|IKIAINOSORA
902|秋渚|AKINAGISA
903|新涼灯火|SHINRYOUTOUKA
904|簾名残|SUDARENAGORI
905|秋めく|AKIMEKU
906|日本晴|NIHONBARE
907|待宵|MATSUYOI
908|宵闇|YOIYAMI
909|雨夜の星|AMAYONOHOSHI
910|夜を篭む|YORUWOKOMU
911|風月|FUGETSU
912|雨夜の月|AMAYONOTSUKI
913|星見草|HOSHIMIGUSA
914|ぞぞろ寒|ZOZOROSAMU
915|涙の雨|NAMIDANOAME
916|月の舟|TSUKINOFUNE
917|忘れ咲き|WASUREZAKI
918|白魔|HAKUMA
919|荒涼|KOURYOU
920|一つ星|HITOTSUBOSHI
921|氷面鏡|HIMOKAGAMI
922|狂い花|KURUIBANA
923|不香の花|FUKOUNOHANA
924|暁|AKATSUKI
925|有明|ARIAKE
926|薄明かり|USUAKARI
927|さんさん|SANSAN
928|残照|ZANSHOU
929|澄明|CHOMEI
930|うだる|UDARU
931|熱波|NEPPA
932|煙雨|EN U
933|片時雨|KATASHIGURE
934|慈雨|JIU
935|逆風|GYAKUFUU
936|疾風|SHIPPUU
937|つむじ風|TSUMUJIKAZE
938|通り風|TOORIKAZE
939|閃光|SENKOU
940|閃電|SENDEN
941|東雲|SHINONOME
942|入道雲|NYUUDOUGUMO
943|綿雲|WATAGUMO
944|妖雲|YOUUN
945|夜の帳|YORUNOTOBARI
946|つつ闇|TSUTSUYAMI
947|氷花|HYOUKA
948|不氷|FUKOORI
949|寒空|SAMUZORA
950|残寒|ZANKAN
951|秋冷|SHUREI
952|底冷え|SOKOBIE
953|肌寒い|HADASAMUI
